open_covid_region_code,date,hospitalized_new
US-AK,2020-08-03,0.0
US-AK,2020-08-10,0.0
US-AK,2020-08-17,0.0
US-AK,2020-08-24,6.0
US-AK,2020-08-31,14.0
US-AK,2020-09-07,11.0
US-AK,2020-09-14,5.0
US-AK,2020-09-21,-36.0
US-AK,2020-09-28,0.0
US-AK,2020-10-05,0.0
US-AK,2020-10-12,0.0
US-AK,2020-10-19,0.0
US-AK,2020-10-26,0.0
US-AK,2020-11-02,0.0
US-AK,2020-11-09,0.0
US-AK,2020-11-16,0.0
US-AK,2020-11-23,0.0
US-AK,2020-11-30,0.0
US-AK,2020-12-07,0.0
US-AK,2020-12-14,0.0
US-AK,2020-12-21,0.0
US-AK,2020-12-28,0.0
US-AK,2021-01-04,0.0
US-AK,2021-01-11,0.0
US-AK,2021-01-18,0.0
US-AK,2021-01-25,0.0
US-AK,2021-02-01,0.0
US-AK,2021-02-08,0.0
US-AK,2021-02-15,0.0
US-AK,2021-02-22,0.0
US-AK,2021-03-01,0.0
US-AK,2021-03-08,0.0
US-AL,2020-08-03,0.0
US-AL,2020-08-10,0.0
US-AL,2020-08-17,0.0
US-AL,2020-08-24,0.0
US-AL,2020-08-31,231.0
US-AL,2020-09-07,206.0
US-AL,2020-09-14,204.0
US-AL,2020-09-21,204.0
US-AL,2020-09-28,190.0
US-AL,2020-10-05,205.0
US-AL,2020-10-12,152.0
US-AL,2020-10-19,220.0
US-AL,2020-10-26,232.0
US-AL,2020-11-02,178.0
US-AL,2020-11-09,233.0
US-AL,2020-11-16,205.0
US-AL,2020-11-23,243.0
US-AL,2020-11-30,206.0
US-AL,2020-12-07,3836.0
US-AL,2020-12-14,1037.0
US-AL,2020-12-21,1375.0
US-AL,2020-12-28,1364.0
US-AL,2021-01-04,1016.0
US-AL,2021-01-11,1070.0
US-AL,2021-01-18,895.0
US-AL,2021-01-25,765.0
US-AL,2021-02-01,647.0
US-AL,2021-02-08,613.0
US-AL,2021-02-15,700.0
US-AL,2021-02-22,625.0
US-AL,2021-03-01,568.0
US-AL,2021-03-08,569.0
US-AR,2020-08-03,0.0
US-AR,2020-08-10,0.0
US-AR,2020-08-17,0.0
US-AR,2020-08-24,0.0
US-AR,2020-08-31,130.0
US-AR,2020-09-07,0.0
US-AR,2020-09-14,161.0
US-AR,2020-09-21,0.0
US-AR,2020-09-28,136.0
US-AR,2020-10-05,44.0
US-AR,2020-10-12,49.0
US-AR,2020-10-19,78.0
US-AR,2020-10-26,113.0
US-AR,2020-11-02,133.0
US-AR,2020-11-09,154.0
US-AR,2020-11-16,154.0
US-AR,2020-11-23,221.0
US-AR,2020-11-30,163.0
US-AR,2020-12-07,286.0
US-AR,2020-12-14,355.0
US-AR,2020-12-21,365.0
US-AR,2020-12-28,352.0
US-AR,2021-01-04,390.0
US-AR,2021-01-11,286.0
US-AR,2021-01-18,350.0
US-AR,2021-01-25,262.0
US-AR,2021-02-01,280.0
US-AR,2021-02-08,257.0
US-AR,2021-02-15,248.0
US-AR,2021-02-22,268.0
US-AR,2021-03-01,315.0
US-AR,2021-03-08,255.0
US-AZ,2020-08-03,2.0
US-AZ,2020-08-10,30.0
US-AZ,2020-08-17,109.0
US-AZ,2020-08-24,282.0
US-AZ,2020-08-31,333.0
US-AZ,2020-09-07,314.0
US-AZ,2020-09-14,313.0
US-AZ,2020-09-21,329.0
