open_covid_region_code,region_name,date,hospitalized_new,hospitalized_cumulative
US-WY,Wyoming,2020-03-07,0.0,0.0
US-WY,Wyoming,2020-03-08,0.0,0.0
US-WY,Wyoming,2020-03-09,0.0,0.0
US-WY,Wyoming,2020-03-10,0.0,0.0
US-WY,Wyoming,2020-03-11,0.0,0.0
US-WY,Wyoming,2020-03-12,0.0,0.0
US-WY,Wyoming,2020-03-13,0.0,0.0
US-WY,Wyoming,2020-03-14,0.0,0.0
US-WY,Wyoming,2020-03-15,0.0,0.0
US-WY,Wyoming,2020-03-16,0.0,0.0
US-WY,Wyoming,2020-03-17,0.0,0.0
US-WY,Wyoming,2020-03-18,0.0,0.0
US-WY,Wyoming,2020-03-19,0.0,0.0
US-WY,Wyoming,2020-03-20,0.0,0.0
US-WY,Wyoming,2020-03-21,0.0,0.0
US-WY,Wyoming,2020-03-22,0.0,0.0
US-WY,Wyoming,2020-03-23,0.0,0.0
US-WY,Wyoming,2020-03-24,0.0,0.0
US-WY,Wyoming,2020-03-25,0.0,0.0
US-WY,Wyoming,2020-03-26,0.0,0.0
US-WY,Wyoming,2020-03-27,11.0,11.0
US-WY,Wyoming,2020-03-28,3.0,14.0
US-WY,Wyoming,2020-03-29,1.0,15.0
US-WY,Wyoming,2020-03-30,2.0,17.0
US-WY,Wyoming,2020-03-31,0.0,17.0
US-WY,Wyoming,2020-04-01,1.0,18.0
US-WY,Wyoming,2020-04-02,1.0,19.0
US-WY,Wyoming,2020-04-03,2.0,21.0
US-WY,Wyoming,2020-04-04,2.0,23.0
US-WY,Wyoming,2020-04-05,0.0,23.0
US-WY,Wyoming,2020-04-06,0.0,23.0
US-WY,Wyoming,2020-04-07,10.0,33.0
US-WY,Wyoming,2020-04-08,0.0,33.0
US-WY,Wyoming,2020-04-09,1.0,34.0
US-WY,Wyoming,2020-04-10,3.0,37.0
US-WY,Wyoming,2020-04-11,0.0,37.0
US-WY,Wyoming,2020-04-12,3.0,40.0
US-WY,Wyoming,2020-04-13,1.0,41.0
US-WY,Wyoming,2020-04-14,2.0,43.0
US-WY,Wyoming,2020-04-15,0.0,43.0
US-WY,Wyoming,2020-04-16,0.0,43.0
US-WY,Wyoming,2020-04-17,0.0,43.0
US-WY,Wyoming,2020-04-18,7.0,50.0
US-WY,Wyoming,2020-04-19,0.0,50.0
US-WY,Wyoming,2020-04-20,1.0,51.0
US-WY,Wyoming,2020-04-21,1.0,52.0
US-WY,Wyoming,2020-04-22,0.0,52.0
US-WY,Wyoming,2020-04-23,0.0,52.0
US-WY,Wyoming,2020-04-24,2.0,54.0
US-WY,Wyoming,2020-04-25,0.0,54.0
US-WY,Wyoming,2020-04-26,0.0,54.0
US-WY,Wyoming,2020-04-27,0.0,54.0
US-WY,Wyoming,2020-04-28,2.0,56.0
US-WY,Wyoming,2020-04-29,0.0,56.0
US-WY,Wyoming,2020-04-30,0.0,56.0
US-WY,Wyoming,2020-05-01,0.0,56.0
US-WY,Wyoming,2020-05-02,2.0,58.0
US-WY,Wyoming,2020-05-03,2.0,60.0
US-WY,Wyoming,2020-05-04,0.0,60.0
US-WY,Wyoming,2020-05-05,0.0,60.0
US-WY,Wyoming,2020-05-06,0.0,60.0
US-WY,Wyoming,2020-05-07,-1.0,59.0
US-WY,Wyoming,2020-05-08,1.0,60.0
US-WY,Wyoming,2020-05-09,4.0,64.0
US-WY,Wyoming,2020-05-10,1.0,65.0
US-WY,Wyoming,2020-05-11,1.0,66.0
US-WY,Wyoming,2020-05-12,1.0,67.0
US-WY,Wyoming,2020-05-13,0.0,67.0
US-WY,Wyoming,2020-05-14,0.0,67.0
US-WY,Wyoming,2020-05-15,1.0,68.0
US-WY,Wyoming,2020-05-16,1.0,69.0
US-WY,Wyoming,2020-05-17,1.0,70.0
US-WY,Wyoming,2020-05-18,3.0,73.0
US-WY,Wyoming,2020-05-19,0.0,73.0
US-WY,Wyoming,2020-05-20,1.0,74.0
US-WY,Wyoming,2020-05-21,1.0,75.0
US-WY,Wyoming,2020-05-22,1.0,76.0
US-WY,Wyoming,2020-05-23,1.0,77.0
US-WY,Wyoming,2020-05-24,1.0,78.0
US-WY,Wyoming,2020-05-25,1.0,79.0
US-WY,Wyoming,2020-05-26,3.0,82.0
US-WY,Wyoming,2020-05-27,0.0,82.0
US-WY,Wyoming,2020-05-28,0.0,82.0
US-WY,Wyoming,2020-05-29,2.0,84.0
US-WY,Wyoming,2020-05-30,1.0,85.0
US-WY,Wyoming,2020-05-31,0.0,85.0
US-WY,Wyoming,2020-06-01,1.0,86.0
US-WY,Wyoming,2020-06-02,0.0,86.0
US-WY,Wyoming,2020-06-03,1.0,87.0
US-WY,Wyoming,2020-06-04,0.0,87.0
US-WY,Wyoming,2020-06-05,3.0,90.0
US-WY,Wyoming,2020-06-06,0.0,90.0
US-WY,Wyoming,2020-06-07,0.0,90.0
US-WY,Wyoming,2020-06-08,1.0,91.0
US-WY,Wyoming,2020-06-09,0.0,91.0
US-WY,Wyoming,2020-06-10,1.0,92.0
US-WY,Wyoming,2020-06-11,0.0,92.0
US-WY,Wyoming,2020-06-12,0.0,92.0
US-WY,Wyoming,2020-06-13,1.0,93.0
US-WY,Wyoming,2020-06-14,0.0,93.0
US-WY,Wyoming,2020-06-15,0.0,93.0
US-WY,Wyoming,2020-06-16,3.0,96.0
US-WY,Wyoming,2020-06-17,1.0,97.0
US-WY,Wyoming,2020-06-18,0.0,97.0
US-WY,Wyoming,2020-06-19,1.0,98.0
US-WY,Wyoming,2020-06-20,0.0,98.0
US-WY,Wyoming,2020-06-21,2.0,100.0
US-WY,Wyoming,2020-06-22,5.0,105.0
US-WY,Wyoming,2020-06-23,4.0,109.0
US-WY,Wyoming,2020-06-24,0.0,109.0
US-WY,Wyoming,2020-06-25,2.0,111.0
US-WY,Wyoming,2020-06-26,1.0,112.0
US-WY,Wyoming,2020-06-27,-1.0,111.0
US-WY,Wyoming,2020-06-28,1.0,112.0
US-WY,Wyoming,2020-06-29,0.0,112.0
US-WY,Wyoming,2020-06-30,5.0,117.0
US-WY,Wyoming,2020-07-01,0.0,117.0
US-WY,Wyoming,2020-07-02,2.0,119.0
US-WY,Wyoming,2020-07-03,0.0,119.0
US-WY,Wyoming,2020-07-04,0.0,119.0
US-WY,Wyoming,2020-07-05,0.0,119.0
US-WY,Wyoming,2020-07-06,0.0,119.0
US-WY,Wyoming,2020-07-07,0.0,119.0
US-WY,Wyoming,2020-07-08,1.0,120.0
US-WY,Wyoming,2020-07-09,1.0,121.0
US-WY,Wyoming,2020-07-10,0.0,121.0
US-WY,Wyoming,2020-07-11,2.0,123.0
US-WY,Wyoming,2020-07-12,1.0,124.0
US-WY,Wyoming,2020-07-13,0.0,124.0
US-WY,Wyoming,2020-07-14,4.0,128.0
US-WY,Wyoming,2020-07-15,3.0,131.0
US-WY,Wyoming,2020-07-16,0.0,131.0
US-WY,Wyoming,2020-07-17,9.0,140.0
US-WY,Wyoming,2020-07-18,2.0,142.0
US-WY,Wyoming,2020-07-19,1.0,143.0
US-WY,Wyoming,2020-07-20,1.0,144.0
US-WY,Wyoming,2020-07-21,2.0,146.0
US-WY,Wyoming,2020-07-22,6.0,152.0
US-WY,Wyoming,2020-07-23,1.0,153.0
US-WY,Wyoming,2020-07-24,2.0,155.0
US-WY,Wyoming,2020-07-25,3.0,158.0
US-WY,Wyoming,2020-07-26,0.0,158.0
US-WY,Wyoming,2020-07-27,0.0,158.0
US-WY,Wyoming,2020-07-28,4.0,162.0
US-WY,Wyoming,2020-07-29,3.0,165.0
US-WY,Wyoming,2020-07-30,1.0,166.0
US-WY,Wyoming,2020-07-31,0.0,166.0
US-WY,Wyoming,2020-08-01,1.0,167.0
US-WY,Wyoming,2020-08-02,0.0,167.0
US-WY,Wyoming,2020-08-03,0.0,167.0
US-WY,Wyoming,2020-08-04,2.0,169.0
US-WY,Wyoming,2020-08-05,0.0,169.0
US-WY,Wyoming,2020-08-06,2.0,171.0
US-WY,Wyoming,2020-08-07,5.0,176.0
US-WY,Wyoming,2020-08-08,1.0,177.0
US-WY,Wyoming,2020-08-09,0.0,177.0
US-WY,Wyoming,2020-08-10,2.0,179.0
US-WY,Wyoming,2020-08-11,4.0,183.0
US-WY,Wyoming,2020-08-12,4.0,187.0
US-WY,Wyoming,2020-08-13,2.0,189.0
US-WY,Wyoming,2020-08-14,2.0,191.0
US-WY,Wyoming,2020-08-15,0.0,191.0
US-WY,Wyoming,2020-08-16,0.0,191.0
US-WY,Wyoming,2020-08-17,4.0,195.0
US-WY,Wyoming,2020-08-18,-2.0,193.0
US-WY,Wyoming,2020-08-19,4.0,197.0
US-WY,Wyoming,2020-08-20,5.0,202.0
US-WY,Wyoming,2020-08-21,1.0,203.0
US-WY,Wyoming,2020-08-22,0.0,203.0
US-WY,Wyoming,2020-08-23,4.0,207.0
US-WY,Wyoming,2020-08-24,4.0,211.0
US-WY,Wyoming,2020-08-25,2.0,213.0
US-WY,Wyoming,2020-08-26,0.0,213.0
US-WY,Wyoming,2020-08-27,2.0,215.0
US-WY,Wyoming,2020-08-28,0.0,215.0
US-WY,Wyoming,2020-08-29,0.0,215.0
US-WY,Wyoming,2020-08-30,0.0,215.0
US-WY,Wyoming,2020-08-31,0.0,215.0
US-WY,Wyoming,2020-09-01,4.0,219.0
US-WY,Wyoming,2020-09-02,2.0,221.0
US-WY,Wyoming,2020-09-03,2.0,223.0
US-WY,Wyoming,2020-09-04,0.0,223.0
US-WY,Wyoming,2020-09-05,0.0,223.0
US-WY,Wyoming,2020-09-06,-4.0,219.0
US-WY,Wyoming,2020-09-07,0.0,219.0
US-WY,Wyoming,2020-09-08,0.0,219.0
US-WY,Wyoming,2020-09-09,2.0,221.0
US-WY,Wyoming,2020-09-10,3.0,224.0
US-WY,Wyoming,2020-09-11,3.0,227.0
US-WY,Wyoming,2020-09-12,60.0,287.0
US-WY,Wyoming,2020-09-13,-59.0,228.0
US-WY,Wyoming,2020-09-14,2.0,230.0
US-WY,Wyoming,2020-09-15,0.0,230.0
US-WY,Wyoming,2020-09-16,5.0,235.0
US-WY,Wyoming,2020-09-17,1.0,236.0
US-WY,Wyoming,2020-09-18,4.0,240.0
US-WY,Wyoming,2020-09-19,2.0,242.0
US-WY,Wyoming,2020-09-20,1.0,243.0
US-WY,Wyoming,2020-09-21,4.0,247.0
US-WY,Wyoming,2020-09-22,6.0,253.0
US-WY,Wyoming,2020-09-23,0.0,253.0
US-WY,Wyoming,2020-09-24,2.0,255.0
US-WY,Wyoming,2020-09-25,1.0,256.0
US-WY,Wyoming,2020-09-26,2.0,258.0
US-WY,Wyoming,2020-09-27,4.0,262.0
US-WY,Wyoming,2020-09-28,2.0,264.0
US-WY,Wyoming,2020-09-29,3.0,267.0
US-WV,West Virginia,2020-03-06,0.0,0.0
US-WV,West Virginia,2020-03-07,0.0,0.0
US-WV,West Virginia,2020-03-08,0.0,0.0
US-WV,West Virginia,2020-03-09,0.0,0.0
US-WV,West Virginia,2020-03-10,0.0,0.0
US-WV,West Virginia,2020-03-11,0.0,0.0
US-WV,West Virginia,2020-03-12,0.0,0.0
US-WV,West Virginia,2020-03-13,0.0,0.0
US-WV,West Virginia,2020-03-14,0.0,0.0
US-WV,West Virginia,2020-03-15,0.0,0.0
US-WV,West Virginia,2020-03-16,0.0,0.0
